revision,layout_sha256,状态,宽mm,功能,失败原因,目标附近障碍
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,600,客房睡眠,目标区域无完整可站立包络（含墙/家具/当前开启件）,C_east_end、bedC、sofa
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,600,主卫,目标区可站立但50mm网格路线受阻；非连续空间不可达证明,AB_east_0、AB_east_1、wcB、basinB、bathB_entry_jamb1、bathB_entry_jamb2、bathB_entry_parked
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,600,儿童到窗,目标区域无完整可站立包络（含墙/家具/当前开启件）,west_AB_0_sill、bedA、toys
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,600,客房到窗,目标区域无完整可站立包络（含墙/家具/当前开启件）,balcony_w_0、north_C_0_sill、north_C_end、C_east_end、balcony_s_0、bedC、sofa
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,620,儿童睡眠,目标区域无完整可站立包络（含墙/家具/当前开启件）,bedA、chairA
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,620,客房睡眠,目标区域无完整可站立包络（含墙/家具/当前开启件）,C_east_end、bedC、sofa
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,620,主卫,目标区可站立但50mm网格路线受阻；非连续空间不可达证明,AB_east_0、AB_east_1、wcB、basinB、bathB_entry_jamb1、bathB_entry_jamb2、bathB_entry_parked
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,620,公卫,目标区域无完整可站立包络（含墙/家具/当前开启件）,wcA、basinA、glassA
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,620,洗烘,目标区域无完整可站立包络（含墙/家具/当前开启件）,north_balcony_0_sill
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,620,儿童到窗,目标区域无完整可站立包络（含墙/家具/当前开启件）,west_AB_0_sill、bedA、toys
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,620,客房到窗,目标区域无完整可站立包络（含墙/家具/当前开启件）,balcony_w_0、balcony_w_0_sill、north_C_0_sill、north_C_end、C_east_end、balcony_s_0、bedC、sofa
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,620,主卧到窗,目标区域无完整可站立包络（含墙/家具/当前开启件）,south_B_0_sill、south_B_end、B_step_e_end、south_main_0、wardB
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,900,会客,起点包络受阻,coffee_table
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,900,儿童睡眠,起点包络受阻,bedA、chairA
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,900,主卧睡眠,起点包络受阻,AB_east_0、AB_east_1、bath_north_0、bedB、basinB、bathB_entry_jamb1、bathB_entry_jamb2、B_entry_jamb1
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,900,客房睡眠,起点包络受阻,C_east_end、bedC、sofa
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,900,主卫,起点包络受阻,AB_east_0、AB_east_1、wcB、basinB、glassB、bathB_entry_jamb1、bathB_entry_jamb2、bathB_entry_parked、bathB_entry_handle
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,900,公卫,起点包络受阻,wcA、basinA、glassA
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,900,备餐,起点包络受阻,island、sink、dishwasher、prep、fridge
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,900,就餐,起点包络受阻,bath_north_end、store_e_0、store_e_end、table、dining1、dining3、store_entry_jamb1、store_entry_jamb2、store_entry_parked、store_entry_handle
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,900,洗烘,起点包络受阻,north_balcony_0_sill、living_balcony_parked、living_balcony_fixed
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,900,儿童到窗,起点包络受阻,west_AB_0、west_AB_0_sill、A_south_0、bedA、toys
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,900,客房到窗,起点包络受阻,balcony_w_0、balcony_w_0_sill、north_C_0_sill、north_C_end、C_east_end、balcony_s_0、bedC、sofa、laundry
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,900,主卧到窗,起点包络受阻,south_B_0、south_B_0_sill、south_B_end、B_step_e_end、south_main_0、wardB
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,900,岛台至餐桌,目标区域无完整可站立包络（含墙/家具/当前开启件）,bath_north_end、store_e_0、store_e_end、table、dining1、dining3、store_entry_jamb1、store_entry_jamb2、store_entry_parked、store_entry_handle
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,900,阳台烹饪,起点包络受阻,north_balcony_0_sill、balcony_s_1、balcony_s_end、hob、kitchen_balcony_jamb1、kitchen_balcony_jamb2、kitchen_balcony_parked、kitchen_balcony_handle
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal4,900,储物取物,起点包络受阻,bath_north_end、store_e_0、store_e_end、table、dining1、dining3、storage、store_entry_jamb1、store_entry_jamb2、store_entry_parked、store_entry_handle
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,500,就餐,目标区域无完整可站立包络（含墙/家具/当前开启件）,store_e_0、store_e_end、table、dining3、six_w、store_entry_jamb1、store_entry_jamb2、store_entry_parked、store_entry_handle
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,500,岛台至餐桌,目标区域无完整可站立包络（含墙/家具/当前开启件）,store_e_0、store_e_end、table、dining3、six_w、store_entry_jamb1、store_entry_jamb2、store_entry_parked、store_entry_handle
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,600,客房睡眠,目标区域无完整可站立包络（含墙/家具/当前开启件）,C_east_end、bedC、sofa
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,600,主卫,目标区可站立但50mm网格路线受阻；非连续空间不可达证明,AB_east_0、AB_east_1、wcB、basinB、bathB_entry_jamb1、bathB_entry_jamb2、bathB_entry_parked
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,600,就餐,目标区域无完整可站立包络（含墙/家具/当前开启件）,bath_north_end、store_e_0、store_e_end、table、dining1、dining3、six_w、store_entry_jamb1、store_entry_jamb2、store_entry_parked、store_entry_handle
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,600,儿童到窗,目标区域无完整可站立包络（含墙/家具/当前开启件）,west_AB_0_sill、bedA、toys
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,600,客房到窗,目标区域无完整可站立包络（含墙/家具/当前开启件）,balcony_w_0、north_C_0_sill、north_C_end、C_east_end、balcony_s_0、bedC、sofa
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,600,岛台至餐桌,目标区域无完整可站立包络（含墙/家具/当前开启件）,bath_north_end、store_e_0、store_e_end、table、dining1、dining3、six_w、store_entry_jamb1、store_entry_jamb2、store_entry_parked、store_entry_handle
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,600,储物取物,目标区域无完整可站立包络（含墙/家具/当前开启件）,bath_north_end、store_e_0、store_e_end、six_w、store_entry_jamb1、store_entry_jamb2、store_entry_parked、store_entry_handle
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,620,儿童睡眠,目标区域无完整可站立包络（含墙/家具/当前开启件）,bedA、chairA
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,620,客房睡眠,目标区域无完整可站立包络（含墙/家具/当前开启件）,C_east_end、bedC、sofa
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,620,主卫,目标区可站立但50mm网格路线受阻；非连续空间不可达证明,AB_east_0、AB_east_1、wcB、basinB、bathB_entry_jamb1、bathB_entry_jamb2、bathB_entry_parked
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,620,公卫,目标区域无完整可站立包络（含墙/家具/当前开启件）,wcA、basinA、glassA
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,620,就餐,目标区域无完整可站立包络（含墙/家具/当前开启件）,bath_north_end、store_e_0、store_e_end、table、dining1、dining3、six_w、store_entry_jamb1、store_entry_jamb2、store_entry_parked、store_entry_handle
