revision,layout_sha256,季节近似,北京时间整点,枕点,太阳高度_deg,结果,首先遇到边界
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,6,bedA,-2.7,太阳在地平线下,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,6,bedB,-2.7,太阳在地平线下,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,6,bedC,-2.7,太阳在地平线下,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,7,bedA,8.8,墙/门遮挡,A_C
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,7,bedB,8.8,墙/门遮挡,bath_north
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,7,bedC,8.8,墙/门遮挡,C_east
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,8,bedA,20.0,墙/门遮挡,A_C
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,8,bedB,20.0,墙/门遮挡,AB_east
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,8,bedC,20.0,墙/门遮挡,C_east
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,9,bedA,30.5,射线越过室内顶界；未穿窗,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,9,bedB,30.5,射线越过室内顶界；未穿窗,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,9,bedC,30.5,墙/门遮挡,C_east
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,10,bedA,39.7,射线越过室内顶界；未穿窗,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,10,bedB,39.7,射线越过室内顶界；未穿窗,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,10,bedC,39.7,墙/门遮挡,C_east
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,11,bedA,46.6,射线越过室内顶界；未穿窗,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,11,bedB,46.6,射线越过室内顶界；未穿窗,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,11,bedC,46.6,射线越过室内顶界；未穿窗,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,12,bedA,49.9,射线越过室内顶界；未穿窗,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,12,bedB,49.9,射线越过室内顶界；未穿窗,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,12,bedC,49.9,射线越过室内顶界；未穿窗,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,13,bedA,48.6,射线越过室内顶界；未穿窗,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,13,bedB,48.6,射线越过室内顶界；未穿窗,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,13,bedC,48.6,射线越过室内顶界；未穿窗,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,14,bedA,43.3,玻璃可达,west_AB
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,14,bedB,43.3,射线越过室内顶界；未穿窗,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,14,bedC,43.3,射线越过室内顶界；未穿窗,
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,15,bedA,35.0,墙/门遮挡,west_AB
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,15,bedB,35.0,墙/门遮挡,west_AB
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,15,bedC,35.0,墙/门遮挡,A_C
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,春分,16,bedA,25.0,墙/门遮挡,west_AB
