revision,layout_sha256,ID,名称,房间,X,Y,宽,深,Z,高,来源
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,bedB,主卧床架1800床垫,B,1550,2070,1900,2120,0,1000,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,wardB,主卧衣柜,B,1800,850,2200,600,0,2400,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,bedsideB,床头三抽柜,B,1000,3700,400,400,0,700,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,bedA,儿童床架1200床垫,A,1100,5440,1300,2120,0,900,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,wardA,儿童衣柜,A,4150,7040,1800,600,0,2300,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,deskA,儿童升降书桌,A,2780,7010,1200,600,0,700,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,chairA,儿童学习椅,A,3180,6430,420,450,0,780,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,toys,书玩低柜,A,950,4570,1500,300,0,750,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,bedC,客床架1500床垫,C,6620,5870,1620,2120,0,950,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,wardC,客房衣柜,C,7400,4570,1300,600,0,2300,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,luggage,行李台,C,6150,7200,400,600,0,450,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,sofa,三人沙发,living,9030,5570,850,2400,0,850,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,coffee_table,轻巧茶几,living,10250,6300,650,900,0,420,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,screen,投影幕布,living,12030,5700,60,2300,800,1300,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,island,无水岛台,living,11800,2800,1500,750,0,850,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,table,四人餐桌/六人加端椅,living,10100,2200,1600,850,0,750,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,dining1,餐椅1,living,10180,1630,450,450,0,800,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,dining2,餐椅2,living,11120,1630,450,450,0,800,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,dining3,餐椅3,living,10180,3230,450,450,0,800,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,dining4,餐椅4,living,11120,3230,450,450,0,800,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,coffee,咖啡电器柜,living,10900,8100,1100,450,0,900,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,shared_desk,共享学习桌,living,11900,900,1500,550,0,740,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,shared_chair,共享学习椅,living,12400,1500,450,380,0,800,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,shoe,玄关鞋衣柜,living,14440,1910,400,1400,0,2400,概念选型包络；尺寸及定位为设计假设
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,bench,换鞋凳,living,14440,3500,400,650,0,450,概念选型包络；尺寸及定位为设计假设
