revision,layout_sha256,ID,值,性质,说明
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,chain_x_north,"[712, 5337, 2761, 3371, 2896]",图上标注,外包尺寸链；分段不等于房间净尺寸
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,chain_x_south,"[712, 3555, 1782, 2126, 635, 6267]",图上标注,两条横链均闭合15077
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,chain_y_west,"[721, 3709, 3341, 900, 1403]",图上标注,自南向北
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,chain_y_east,"[721, 3709, 4241, 1403]",图上标注,自南向北
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,overall,"[15077, 10074]",尺寸链推导,仅外包；非矩形套内面积
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,levels_y,"[0, 721, 3370, 4430, 7771, 8671, 10074]",混合,3370为卫浴/过道分界假设，其余由链推导
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,wall_external,200,概念假设,向室内扣除；结构未知
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,wall_partition,120,概念假设,参考线上居中
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,ceiling,2700,概念假设,梁、降板及吊顶未知
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,door_height,2100,概念假设,洞口净高待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,window_sill,900,概念假设,阳台玻璃100；窗高1500/2400
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,balcony_net,"[5967, 1143]",概念墙内侧推导,南分界墙中心8671+60；北外墙中心9974-100；东西墙内侧8910/14877
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,installation_allowances,"{'skirting': 20, 'door_frame_each': 30, 'handle': 50}",概念假设,家具定位已留外墙20或以上；未实测
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,bedB,"[1550, 2170, 1900, 2120] 高1000",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,wardB,"[1800, 850, 2200, 600] 高2400",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,bedsideB,"[1000, 3700, 400, 400] 高700",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,bedA,"[1100, 5440, 1300, 2120] 高900",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,wardA,"[4150, 7040, 1800, 600] 高2300",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,deskA,"[2780, 7010, 1200, 600] 高700",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,chairA,"[3180, 6430, 420, 450] 高780",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,toys,"[950, 4570, 1500, 300] 高750",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,bedC,"[6620, 5870, 1620, 2120] 高950",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,wardC,"[7400, 4570, 1300, 600] 高2300",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,sofa,"[9030, 5570, 850, 2400] 高850",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,coffee_table,"[10250, 6300, 650, 900] 高420",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,screen,"[12030, 5700, 60, 2300] 高100",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,island,"[12300, 4900, 750, 1500] 高850",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,table,"[10100, 2200, 1600, 850] 高750",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,dining1,"[10180, 1630, 450, 450] 高800",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,dining2,"[11120, 1630, 450, 450] 高800",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,dining3,"[10180, 3230, 450, 450] 高800",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,dining4,"[11120, 3230, 450, 450] 高800",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,coffee,"[11900, 900, 1100, 450] 高900",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,shoe,"[14440, 1910, 400, 1400] 高2400",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,bench,"[14440, 3500, 400, 650] 高450",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,storage,"[8260, 2550, 300, 650] 高1800",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,sink,"[14200, 4590, 650, 900] 高850",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,dishwasher,"[14200, 5490, 650, 600] 高820",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,prep,"[14200, 6090, 650, 650] 高850",概念设计,概念待实测／产品安装资料待核
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,hob,"[14227, 8870, 650, 900] 高850",概念设计,概念待实测／产品安装资料待核
