revision,layout_sha256,操作,分量,范围,固定命中
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,wardB_use,operator,"[1800, 1450, 2200, 600]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,wardA_use,operator,"[4150, 6140, 1800, 900]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,toys_use,operator,"[950, 4870, 1500, 500]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,wardC_use,operator,"[7400, 5170, 1300, 600]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,island_use,operator,"[11400, 4900, 900, 1500]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,coffee_use,operator,"[11900, 1350, 1100, 600]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,shoe_use,operator,"[13540, 1910, 900, 1400]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,storage_use,operator,"[8910, 2550, 600, 650]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,sink_use,operator,"[13300, 4590, 900, 900]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,dishwasher_use,moving,"[13600, 5490, 600, 600]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,dishwasher_use,operator,"[13150, 5490, 450, 600]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,prep_use,operator,"[13300, 6090, 900, 650]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,hob_use,operator,"[13627, 8870, 600, 900]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,tower_use,moving,"[13600, 7640, 600, 750]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,tower_use,operator,"[13150, 7640, 450, 750]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,fridge_use,moving,"[13500, 6740, 600, 900]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,fridge_use,operator,"[13050, 6740, 450, 900]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,laundry_use,moving,"[9650, 8970, 600, 800]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,laundry_use,operator,"[10250, 8970, 450, 800]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,robot_use,operator,"[13150, 1450, 550, 600]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,basinB_use,operator,"[4407, 1920, 650, 900]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,basinA_use,operator,"[6450, 2820, 900, 450]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,child_play,operator,"[2600, 4900, 2200, 1300]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,child_pull,operator,"[3000, 5930, 750, 950]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,dining_pull1,operator,"[10180, 1180, 450, 450]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,dining_pull2,operator,"[11120, 1180, 450, 450]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,dining_pull3,operator,"[10180, 3680, 450, 450]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,dining_pull4,operator,"[11120, 3680, 450, 450]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,dryA,operator,"[6230, 1830, 950, 900]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,dryB,operator,"[4400, 1830, 820, 900]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,drying,operator,"[11000, 9010, 1500, 750]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,robot_service,operator,"[13150, 1450, 550, 600]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,bedsideB_use,operator,"[1000, 2800, 400, 900]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,wcA_use,operator,"[6600, 2000, 750, 650]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,wcB_use,operator,"[4480, 2140, 750, 650]",[]
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,bedA_west,operator,"[600, 5890, 500, 900]","['west_AB_0_sill', 'west_AB_end']"
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,bedA_east,operator,"[2400, 5890, 500, 900]",[]
