revision,layout_sha256,操作,所有者,范围,实体命中,说明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,wardB_use,wardB,"[1800, 1450, 2200, 600]",,移门取衣站人600
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,wardA_use,wardA,"[4150, 6140, 1800, 900]",,操作及人员概念包络
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,toys_use,toys,"[950, 4870, 1500, 500]",,操作及人员概念包络
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,wardC_use,wardC,"[7400, 5170, 1300, 600]",,移门取衣站人600
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,island_use,island,"[11800, 1900, 1500, 900]",,操作及人员概念包络
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,coffee_use,coffee,"[10900, 7200, 1100, 900]",,操作及人员概念包络
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,shoe_use,shoe,"[13540, 1910, 900, 1400]",,操作及人员概念包络
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,storage_use,storage,"[8250, 2300, 400, 900]",,操作及人员概念包络
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,sink_use,sink,"[13300, 4590, 900, 900]",,操作及人员概念包络
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,dishwasher_use,dishwasher,"[13150, 5490, 1050, 600]",,操作及人员概念包络
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,prep_use,prep,"[13300, 6090, 900, 650]",,操作及人员概念包络
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,hob_use,hob,"[13300, 6740, 900, 850]",,操作及人员概念包络
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,tower_use,tower,"[12970, 7790, 900, 750]",,操作及人员概念包络
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,fridge_use,fridge,"[13070, 6600, 1050, 900]",,操作及人员概念包络
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,laundry_use,laundry,"[11200, 8970, 1050, 800]",,操作及人员概念包络
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,robot_use,robot,"[13750, 9300, 550, 550]",,操作及人员概念包络
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,basinB_use,basinB,"[4407, 1920, 650, 900]",,操作及人员概念包络
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,basinA_use,basinA,"[6450, 2820, 900, 450]",,操作及人员概念包络
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,child_play,toys,"[2600, 4900, 2200, 1300]",,儿童活动
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,child_pull,chairA,"[3000, 6030, 750, 800]",,拉椅
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,shared_pull,shared_chair,"[12100, 1450, 900, 1000]",,拉椅
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,dining_pull1,dining1,"[10180, 1180, 450, 450]",,餐椅拉出450
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,dining_pull2,dining2,"[11120, 1180, 450, 450]",,餐椅拉出450
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,dining_pull3,dining3,"[10180, 3680, 450, 450]",,餐椅拉出450
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,dining_pull4,dining4,"[11120, 3680, 450, 450]",,餐椅拉出450
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,dryA,showerA,"[6230, 1830, 950, 900]",,淋浴更衣
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,dryB,showerB,"[4400, 1830, 820, 900]",,淋浴更衣
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,drying,laundry,"[9600, 9000, 1600, 750]",,临时落地晾晒；遮通路需收起
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,robot_service,robot,"[13750, 9300, 550, 550]",,基站前方操作
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,bedsideB_use,bedsideB,"[1000, 2800, 400, 900]",,操作及人员概念包络
