revision,layout_sha256,cabinet,module,use,width,net_width,net_depth,rail_mm,drawers,shelf_litres,note
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,wardB,1,双层短挂,800,764,562,1528,0,0,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,wardB,2,长挂,700,664,562,664,0,0,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,wardB,3,床品四层,700,664,562,0,0,858.3,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,bedsideB,1,三抽,400,364,362,0,3,79.1,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,wardA,1,成长长挂,600,564,562,564,0,0,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,wardA,2,双层短挂,600,564,562,1128,0,0,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,wardA,3,三抽+叠衣,600,564,562,0,3,697.3,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,toys,1,书,500,464,262,0,0,79.0,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,toys,2,玩具,500,464,262,0,0,79.0,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,toys,3,玩具,500,464,262,0,0,79.0,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,wardC,1,短挂,650,614,562,614,0,0,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,wardC,2,层板,650,614,562,0,0,759.1,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,island,1,备餐抽屉,750,714,712,0,2,381.3,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,island,2,餐具抽屉,750,714,712,0,2,381.3,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,coffee,1,咖啡茶水,550,514,412,0,0,169.4,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,coffee,2,杯具,550,514,412,0,0,169.4,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,shoe,1,鞋层板,700,664,362,0,0,552.8,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,shoe,2,挂衣+置物,700,664,362,664,0,0,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,storage,1,可抽出深柜/清洁工具,400,364,1312,0,0,1098.4,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,sink,1,水槽+净水,900,864,612,0,0,396.6,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,prep,1,备餐抽屉,650,614,612,0,2,281.8,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,hob,1,燃气+灶具,850,814,612,0,0,373.6,容积为未扣活动层板的几何上限；非实际件数承诺
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,tower,1,蒸烤/微波,750,714,612,0,0,961.3,容积为未扣活动层板的几何上限；非实际件数承诺
