revision,layout_sha256,索引,点号,X,Y,Z,专业,关联家具,条件
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S01,主槽给排水,14500,4800,500,water,sink,保留原东墙湿区；标高管径待核
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S02,燃气排烟,14600,7100,2100,gas,hob,原东墙区域；烟道及燃气接口实测
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S03,洗碗机电源,14500,6100,500,electric,dishwasher,邻柜可检修，独立回路按厂家
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S04,净水电源,14400,4800,500,electric,sink,槽柜内隔水
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S05,高柜电源,12400,8150,1600,electric,tower,蒸烤微波分回路，散热待厂家
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S06,咖啡插座,11500,8580,1100,electric,coffee,带接地避开水
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S07,岛台地插候选,12500,3150,150,electric,island,避通行，楼板开槽未核
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S08,洗烘给排水,12600,9700,500,water,laundry,阳台防冻、防水、污水立管待核
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S09,洗烘电源,12600,9600,1300,electric,laundry,洗烘独立回路按负荷
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S10,床头B,3660,3900,650,electric,bedB,双控+USB，另一侧无线开关
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S11,床头A,2450,7460,650,electric,bedA,防护插座，灯位避直照
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S12,书桌A,3300,7420,1100,electric,deskA,独立任务照明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S13,床头C,7950,8100,650,electric,bedC,灯与充电
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S14,共享桌,13000,850,1050,electric,shared_desk,网口+任务照明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S15,投影电源,9400,6800,2500,electric,sofa,吊装投射距离按机型
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S16,主卫给排水,5600,1400,300,water,showerB,保留湿区，地漏/坑距不可视作已知
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S17,公卫给排水,7400,1400,300,water,showerA,两淋浴坡度防水待核
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S18,床头B左,1300,4260,850,electric,bedsideB,左侧床头灯与充电，点位结合护墙板深化
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,S19,冰箱电源,12300,7500,300,electric,fridge,邻侧可检修插座，散热及电线长度按厂家
