revision,layout_sha256,路线,状态,宽mm,可达,说明
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,会客,normal4,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童睡眠,normal4,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧睡眠,normal4,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房睡眠,normal4,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卫,normal4,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,公卫,normal4,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐,normal4,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,就餐,normal4,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,洗烘,normal4,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童到窗,normal4,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房到窗,normal4,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧到窗,normal4,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,备餐至岛台,normal4,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,岛台至餐桌,normal4,500,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,会客,normal4,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童睡眠,normal4,600,True,该方形包络可达；门全开，操作区另查
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧睡眠,normal4,600,True,该方形包络可达；门全开，操作区另查
