revision,layout_sha256,空间,功能,原图面积_仅抄录
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,儿童房A,1200床；独立书桌；衣柜；书玩低柜；活动与成长替换,17.8
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,主卧B,1800双人床；长短挂衣与床品；床头灯及充电；独立进入卫生间B,15.1
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客房C,1500双人床；衣柜；行李；到窗清洁,11.7
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,过道,连接三卧两卫；不加柜压缩动线,1.9
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,卫生间B,坐便；洗面；独立淋浴,4.7
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,卫生间A,公卫；坐便；洗面；独立淋浴,5.6
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,储物间,窄深储物；行李吸尘器；清洁工具,
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,客餐厅,北段会客投影；岛台餐桌；咖啡柜；共享学习；东南玄关,40.5
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,厨房,燃气排烟留原区；主水槽；洗碗机；蒸烤微波；净水,12.3
R1,cce273f7f522057af32384f4a368b22cda17a240002f50307a5b1c659f2960e6,北阳台,洗烘叠放；晾晒；基站候选,8.8
