revision,layout_sha256,ID,类型,参考框,名义宽,扣框净宽假设,高度,来源
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,B_south_window,window,"[300, 0.0, 1200, 200]",1200,1140,1500,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,entry,door,"[13700, 621.0, 950, 200]",950,890,2100,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,living_window,window,"[14877.0, 3521, 200, 650]",650,590,1500,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,balcony_e_window,window,"[14877.0, 9021, 200, 700]",700,640,2400,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,balcony_glass,window,"[9010, 9874.0, 5800, 200]",5800,5740,2400,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,balcony_w_window,window,"[8710.0, 8871, 200, 900]",900,840,2400,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,C_window,window,"[6699, 8571.0, 1350, 200]",1350,1290,1500,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,A_window,window,"[612.0, 4500, 200, 1500]",1500,1440,1500,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,B_niche_window,window,"[200, 1300.0, 350, 200]",350,290,1500,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,B_w_window,window,"[0.0, 300, 200, 900]",900,840,1500,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,A_entry,door,"[4912, 4370.0, 900, 120]",900,840,2100,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,bathB_entry,sliding,"[4207.0, 2221, 120, 850]",850,790,2100,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,B_entry,door,"[4207.0, 3511, 120, 850]",850,790,2100,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,hall_west,passage,"[5989.0, 3490, 120, 880]",880,820,2100,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,C_entry,door,"[6229, 4370.0, 900, 120]",900,840,2100,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,bathA_entry,sliding,"[6317, 3310.0, 850, 120]",850,790,2100,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,store_entry,sliding,"[8750.0, 2521, 120, 700]",700,640,2100,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,living_balcony,sliding,"[9510, 8611.0, 2300, 120]",2300,2240,2100,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,kitchen_balcony,sliding,"[13610, 8611.0, 900, 120]",900,840,2100,原图拓扑／洞口宽高与轨道均概念待实测
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,balcony_partition_door,door,"[12670.0, 8891, 60, 820]",820,760,2100,概念玻璃门；轨迹已核，密封五金待核
